Year,main_1,main_2,main_3,marbl_sl,illa_sl_1,illa_sl_2,illa_cr_1,illa_cr_2,park_sl_1,park_sl_2,new_pds,co_line_pds,taylor_ch,powerline_ch,illabot_ch_1,illabot_ch_2,pressentin_cr,mill_cr,alder_cr,jones_cr,hansen_cr,sauk_r,dans_complex,dans_slough,upper_dans_sl,constant_ch,total
1990,,,42151,21796,31347,,5093,,1341,,,,,,,,,,,,,,5186,955,4231,,112100
1991,16364,,4847,1986,6538,,708,,280,,121,,,,,,,,,,,,2303,34,2269,110,35560
1992,92456,131216,18891,655,6217,,852,,5200,780,30,,,,,,,,,,,,11292,6047,5245,950,279831
1993,15543,20414,3913,1489,4544,,614,,910,140,40,,,,,,,,,,,,3991,3013,978,0,55589
1994,97619,260128,71473,2100,10079,,2368,,2646,2063,1098,,,,,,,,,,,,3861,1986,1875,2660,459956
1995,,,,6619,8620,,628,,627,10,699,,,,4667,,,,,,,,856,495,361,288,23870
1996,60149,97468,21804,6883,9865,,224,,3988,3911,448,,,,440,,,,,,,,11555,1342,10213,4978,233268
1997,4693,16494,2898,1291,1141,,0,,177,211,0,,503,,17,,,,,,,,4160,3596,564,59,35804
1998,58572,188081,37441,8800,21387,,612,,2978,2105,1737,,7505,,4408,,,,,,,,4424,3311,1113,2815,345289
1999,,,10389,4142,9467,,258,,1087,1023,2536,,2536,,2405,,,,,,,,2836,562,2274,570,40085
2000,15698,13232,12600,202,697,,2512,,95,100,52,,104,,0,,,,,,,,11283,705,10578,984,68842
2001,33109,58358,32509,4263,12736,,17769,,1939,1398,862,,2928,,1697,3325,,,,,,,4765,4251,514,2177,182600
2002,148800,291740,141861,5437,15841,,416,,1173,1778,,,,,,,,,,,,,16101,10996,5105,,639248
2003,,,10777,2605,2706,,423,,3829,1955,,,,,,,,,,,,,818,728,90,,23931
2004,59089,54827,73621,9592,21273,,8061,,4781,2463,2709,,,,1270,,,,,,,,36390,34081,2309,,310466
2005,8139,8766,20250,894,2597,,2022,,543,820,4641,,,,,,,,,,,,8729,8639,90,,66130
2006,,,,4550,31010,,5907,,3180,2727,4641,1529,7156,1028,9571,,,,,,,,2212,2212,0,,75723
2007,14288,10941,16731,1842,879,810,345,509,770,207,939,1165,35,669,0,263,69,0,325,20,67,2426,516,,,,53816
2008,8396,6447,11825,1368,2928,1330,252,,145,309,44,1256,308,1467,45,0,223,66,488,314,0,4747,7020,,,,48978
2009,4194,8185,24411,4073,8876,4480,,,71,47,136,301,367,544,99,305,591,8,384,274,0,3554,2359,,,,63259
2010,17010,19683,39835,818,,,,,50,931,2325,3266,77,94,1000,2684,646,42,179,72,0,5705,4917,,,,99334
2011,7791,13228,25959,1768,1959,564,,,330,109,428,1322,491,24,34,11,0,0,79,0,11,2820,96,,,,57024
2012,14365,8205,17126,1808,4697,3431,1172,2067,155,40,151,1273,494,33,0,57,1109,0,0,0,1353,4434,3233,,,,65203
2013,1769,2034,12350,291,1966,187,204,1386,15,8,0,481,1357,40,197,146,51,0,8,8,0,6018,1194,,,,29710
2014,43139.79412,40993.33824,61630.97436,2485.396825,10640.22817,7253.553571,716.3392857,5342.684524,1734.27193,3305.666667,1793.850877,1228.24359,2439.5,1261.254902,1307.219298,3152.482456,972.2303922,372.7777778,81.52941176,76.11111111,0,5583.836257,4694.253286,,,,200205.537
2015,3449.107143,3763.142857,11020.85142,1829.14881,1620.5,1703.222222,,,54.44444444,0,188.9179567,1056.633987,571.626935,20.88888889,11.57894737,331.7163743,52.94117647,0,0,15.55555556,0,2791.555556,194.622807,,,,28676.45508
2016,12063.39216,10842.8352,14255.46429,618.547619,2899.601825,1636.800873,,,79.9619883,0,0,535.3888889,340.3976608,246.6666667,0,0,1286.178266,64.38970588,903.1666667,37.8627451,0,7796.507516,3774.666928,,,,57381.82899
2017,4184.897436,3739.839744,9160.640289,709.6111111,2410.083333,1066.936275,,,28.125,270.5,584.0588235,745.5998329,310.6983806,584.0588235,0,478.6052632,45.20588235,0,0,0,0,612.302521,85.8015873,,,,25016.9643
2018,22785.69664,13743.60811,8696.097222,1659.710526,4185.230159,4620.954248,,,640.6578947,750.0263158,58.46153846,2283.026316,1161.890252,760.2982456,66.49122807,874.4795322,68.16666667,0,26,0,,2632.829365,2690.972222,,,,67704.59649
