year,Nooksack,Whatcom_Cr,Tulalip,Cowling_Grover,Hoodsport,Enetai,Skokomish,NPGO,pink
1975,,,0.789241071,,5.387634308,,,,
1976,,,3.107789161,,2.619060882,,0.6808667,,
1977,,,2.693210595,,6.033280309,4.84229485,,,
1978,1.730595691,,4.743252327,,3.591722155,1.414697114,1.124165411,,
1979,0.920320191,,,0.062240566,6.098337817,0.714362341,1.044691704,,
1980,0.074094598,,3.387998687,0.711588309,2.764426741,2.353023256,2.474629904,-0.57,0
1981,1.056312794,,5.675152174,1.679290829,8.065863665,5.121755266,8.044662122,-0.29,208728
1982,,,14.44173494,10.51809109,6.287914717,5.128248777,4.439201195,0.32,0
1983,,,2.122312298,4.984138272,6.588865978,7.79040264,9.715293089,0.06,794922
1984,,,11.015367,3.752038495,4.71523776,3.844307259,2.739379287,0.19,0
1985,1.940985465,3.745512894,8.75701088,4.962212658,8.135544693,4.750632634,2.842754898,-1.09,1212444
1986,2.354688172,4.78674476,10.4798662,8.617574761,2.957103705,2.299651137,1.920822098,0.32,0
1987,7.667707547,3.394597091,4.046684475,2.690293915,4.28479317,2.569802245,1.751519564,0.89,866906
1988,0.943442308,4.029891415,3.062164874,7.561250936,10.60157754,2.821281104,6.699690442,0.91,0
1989,0.827042449,2.408882614,2.260945482,1.82221087,3.022760278,2.921153901,2.983411048,0.12,551870
1990,2.485273038,0.809905439,9.978903207,15.74765924,11.66482585,9.236114147,6.724547029,-0.85,0
1991,1.951819484,1.038959569,1.391026446,4.133506189,5.067406232,6.461179155,2.835813083,-0.25,611447
1992,2.971723577,2.496334651,3.615261473,13.07187762,6.393523161,3.181599045,4.554606657,-2.14,0
1993,2.475287449,4.367399911,2.259228824,10.67413387,5.989988267,4.276286944,4.327498445,-1.92,740135
1994,2.707388776,5.353743157,2.271940551,31.84973604,2.767137667,4.418836246,4.373651012,-1.28,0
1995,3.201983217,4.294289823,4.483004007,15.82242558,2.270732299,4.695274884,4.217884547,-0.66,1166626
1996,15.98265217,0.64730211,1.156653493,3.62152099,2.148971309,1.173698957,0.866961017,-1.18,0
1997,7.522260638,4.071912674,5.398322488,11.72357885,2.992596512,2.151179449,5.51099749,0.9,252109
1998,4.793996444,4.534122161,14.62071241,10.02298861,5.885049475,5.822455491,9.87388439,1.53,0
1999,8.245616405,0.730346939,6.713160209,14.83599059,6.969727527,3.626225977,29.37456013,1.68,781543
2000,20.46453571,1.344490566,3.746288472,6.021263347,1.453265213,3.411669231,21.36660158,2.59,0
2001,4.639730683,1.229093643,5.132378772,0.818187596,2.098756515,6.345573341,6.47382821,1.99,2741709
2002,3.024112732,1.20320639,2.658474131,1.583459854,1.47987162,7.818836181,5.589160698,1.77,0
2003,3.395210638,0.221055677,2.742158042,18.77832272,1.525436099,5.432044424,12.31991879,0.38,2144081
2004,,0.316833159,6.612915753,36.377975,0.913220733,6.421815212,8.871977299,-1.41,0
2005,,,3.79720142,1.859910053,2.461225001,5.873509011,18.15662482,-0.92,660124
2006,,,2.001470957,1.43934127,1.430668736,0.838580566,4.728655942,-0.31,0
2007,,,3.535100466,3.570304035,3.788800141,4.365582779,21.22117989,0.88,1683591
2008,,1.062397645,0.626450048,5.286117988,0.33876725,0.863809162,3.645010594,0.6,0
2009,,,4.043407448,5.644340396,3.175975176,13.58462936,50.14595596,1.66,3992373
2010,,,1.730681201,7.221546811,3.411487235,8.107865485,20.37205544,0.71,0
2011,,,0.363830522,0.327325534,1.926733884,1.906297413,5.960153412,0.74,1172903
