year,skagit_pink_escapement,whidbey_basin_pink_escapement,puget_sound_pink_escapement
1980,0,0,0
1981,100536,208728,248442
1982,0,0,0
1983,470256,794922,898063
1984,0,0,0
1985,710060,1212444,1340544
1986,0,0,0
1987,595070,866906,1018391
1988,0,0,0
1989,401305,551870,826095
1990,0,0,0
1991,351000,611447,783391
1992,0,0,0
1993,530000,740135,855619
1994,0,0,0
1995,857000,1166626,1469261
1996,0,0,0
1997,60000,252109,315956
1998,0,0,0
1999,320000,781543,909277
2000,0,0,0
2001,894061,2741709,3249414
2002,0,0,0
2003,567080,2144081,2671947
2004,0,0,0
2005,59032,660124,1793799
2006,0,0,0
2007,300141,1683591,2951726
2008,0,0,0
2009,1160000,3992373,8205957
2010,0,0,0
2011,562665,1172903,3936650.89
2012,0,0,0
2013,904941.7203,3053569,5968474
2014,0,0,0
2015,295247,770674,2899261
